date,temperature_2m_min,temperature_2m_max,temperature_2m_mean,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,precipitation_sum,WeatherSimple
2024-04-19,20.887314,32.24847,25.741888,14.530999999999995,31.177999999999997,22.916700000000006,1.8955000000000017,0
2024-04-20,20.887314,31.911171,25.741888,14.110999999999992,31.0935,22.469150000000013,1.588000000000001,1
2024-04-21,20.890026,31.911171,25.741888,14.076499999999985,31.66650000000002,22.458250000000017,1.5185,1
2024-04-22,20.890026,31.911171,25.741888,13.748499999999988,28.69299999999998,22.41205000000002,1.4285000000000003,2
2024-04-23,21.028116,31.832188,25.655981,13.964499999999996,28.826999999999998,21.916400000000024,1.7010000000000018,2
2024-04-24,21.028116,32.33019,26.074358,13.355999999999996,27.50349999999997,23.327050000000003,0.6089999999999995,0
2024-04-25,21.028116,32.33019,26.074358,13.142999999999995,27.291999999999966,23.431300000000007,0.4999999999999997,0
2024-04-26,21.028116,32.33019,26.114277,12.761500000000002,27.38699999999996,23.416050000000006,0.39050000000000007,0
2024-04-27,21.028116,32.33019,26.144136,12.890500000000005,27.71099999999996,23.409650000000003,0.3885,0
2024-04-28,21.028116,32.33019,26.144136,13.133500000000009,27.908999999999956,23.373250000000006,0.35000000000000014,0
2024-04-29,20.98892,32.244965,26.158175,12.612999999999998,27.68449999999996,22.29985000000001,0.4600000000000001,1
2024-04-30,20.98892,32.244965,26.15103,12.749999999999998,27.735499999999956,22.269000000000016,0.46300000000000013,1
2024-05-01,21.205706,32.244965,26.358778,14.302000000000026,28.746499999999966,22.165750000000013,0.4180000000000001,1
2024-05-02,21.205706,32.244965,26.358778,14.453500000000027,28.70099999999997,22.17530000000001,0.5060000000000001,1
2024-05-03,21.199944,32.232796,26.39227,14.434000000000019,28.732499999999963,22.197200000000013,0.43050000000000027,1
2024-05-04,21.09958,32.612915,26.764185,14.184500000000014,28.878999999999937,23.411550000000016,0.06000000000000002,0
2024-05-05,21.09958,32.612915,26.764185,14.551000000000005,29.211499999999948,23.452450000000013,0.06000000000000002,0
2024-05-06,21.272354,31.876678,26.385864,15.131499999999996,29.55849999999999,21.627900000000007,0.5745000000000002,1
2024-05-07,21.307663,31.876678,26.237202,14.67699999999998,29.099499999999985,21.33895000000002,1.6084999999999994,1
2024-05-08,21.192547,31.876678,26.222397,14.416999999999987,29.469999999999995,21.440200000000026,0.7974999999999995,1
2024-05-09,21.192547,31.876678,26.222397,14.076999999999988,29.097499999999997,21.588900000000027,0.8379999999999996,1
2024-05-10,21.192547,31.82784,26.09991,13.783999999999983,28.77449999999999,21.27615000000002,1.0714999999999997,1
2024-05-11,21.098867,30.81145,25.320953,14.447499999999996,30.07799999999996,21.38439999999998,4.7780000000000005,1
2024-05-12,21.098867,30.81145,25.320953,14.663499999999994,30.381499999999956,21.47684999999998,4.526500000000001,1
2024-05-13,20.853071,30.81145,25.346123,16.5915,33.44349999999993,21.84704999999997,3.226500000000003,2
2024-05-14,20.853071,29.384691,24.170143,13.912499999999996,30.093999999999973,20.22665,9.033999999999997,2
2024-05-15,20.853071,29.384691,24.170143,13.9675,30.461499999999972,20.26635,9.738,2
2024-05-16,20.818506,29.734632,24.48506,14.241999999999992,29.99399999999998,20.447799999999972,4.852999999999996,2
2024-05-17,20.818506,29.734632,24.620079,14.723999999999995,30.133499999999977,20.41169999999997,3.6099999999999968,2
2024-05-18,20.7973,29.104164,24.091543,15.579500000000012,34.0205,19.898949999999996,8.160499999999999,2
2024-05-19,20.7973,29.104164,24.091543,16.259000000000018,35.50700000000003,19.898949999999996,8.177499999999998,2
2024-05-20,20.626072,29.113462,24.057587,16.393500000000028,35.76250000000004,20.08325,7.6099999999999985,2
2024-05-21,20.635235,29.154337,24.369646,15.961000000000015,34.718999999999966,21.179049999999982,5.301000000000003,2
2024-05-22,20.635235,29.154337,24.369646,16.052500000000023,34.96699999999996,21.175349999999984,4.980500000000003,2
2024-05-23,20.635235,29.51019,24.454428,16.633000000000024,35.93050000000001,20.750149999999984,3.5115000000000016,2
2024-05-24,20.613699,29.254192,24.305326,17.303500000000028,36.62400000000002,21.049649999999982,5.227500000000007,1
2024-05-25,20.613699,29.254192,24.305326,17.11400000000003,36.3415,21.04724999999998,5.126500000000005,1
2024-05-26,20.408934,29.526001,24.303158,16.898500000000023,37.32750000000001,21.275949999999998,4.411000000000004,2
2024-05-27,20.408934,30.043205,24.326334,16.73700000000002,37.241500000000016,20.485400000000023,7.589000000000002,2
2024-05-28,20.446726,30.043205,24.559748,16.149500000000007,35.687999999999995,21.625500000000006,3.6135000000000024,2
