time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,windspeed_10m_max,windgusts_10m_max,weathercode,shortwave_radiation_sum
2022-06-02,20.360344,30.057505,24.400816,8.889158,15.089561,32.000324,55.77181,20.698786
2022-06-03,20.360344,28.020708,23.476616,9.855532,13.919278,31.911963,53.66167,17.412401
2022-06-04,20.265217,27.66837,23.45031,7.973511,14.108859,31.094912,53.66167,17.85397
2022-06-05,20.17209,27.66837,23.45031,6.2102175,14.391487,31.094912,53.66167,19.225391
2022-06-06,20.17209,27.66837,23.45031,6.2102175,14.391487,31.094912,53.66167,19.225391
2022-06-07,20.096119,28.142939,23.599045,5.679989,16.16948,35.41087,43.55178,21.448372
2022-06-08,19.933449,28.129438,23.633373,2.956254,20.551043,42.42425,42.943203,20.75631
2022-06-09,19.933449,28.129438,23.633373,2.956254,20.551043,42.42425,42.943203,20.75631
2022-06-10,19.933449,28.129438,23.55212,2.0947456,23.818048,46.694946,45.617527,20.205643
2022-06-11,19.988514,27.567,23.326366,2.3968582,26.833488,53.359207,45.617527,16.158903
2022-06-12,19.988514,27.567,23.326366,2.3968582,26.833488,53.359207,45.617527,16.158903
2022-06-13,19.956553,26.955544,22.878077,2.3968582,28.191675,53.455704,46.74887,14.274207
2022-06-14,19.93618,26.955544,22.878077,2.4089742,27.13621,53.175186,46.74887,15.308879
2022-06-15,19.887224,27.240658,23.125332,1.9380366,27.640707,53.09331,46.59828,16.499733
2022-06-16,19.887224,27.240658,23.125332,1.9380366,27.640707,53.09331,46.59828,16.499733
2022-06-17,19.887224,27.43318,23.268196,0.9154138,27.118004,53.13819,45.550457,17.60046
2022-06-18,19.801722,27.494255,23.37118,0.9154138,27.118004,53.13819,45.550457,16.495176
2022-06-19,19.801722,27.494255,23.37118,0.9154138,27.118004,53.13819,45.550457,16.495176
2022-06-20,19.801722,28.634102,23.658937,1.020294,26.58049,51.90502,46.202904,18.186817
2022-06-21,19.801722,28.820011,23.674683,1.020294,20.297356,43.329155,46.202904,17.889986
2022-06-22,19.801722,28.820011,23.674683,1.020294,20.297356,43.329155,46.202904,17.889986
2022-06-23,19.801722,28.859581,23.674683,1.6408025,19.095146,40.78439,49.95925,18.571894
2022-06-24,19.801722,28.859581,23.743717,0.7712624,18.914864,42.366585,49.067375,20.017822
2022-06-25,19.801722,28.71299,23.688795,7.0272207,18.50068,42.817802,48.83575,19.979654
2022-06-26,19.801722,28.71299,23.688795,7.0272207,18.50068,42.817802,48.83575,19.979654
2022-06-27,19.75484,27.761814,23.688795,5.2791753,17.950508,42.39434,53.92167,16.300571
2022-06-28,19.757042,28.459106,23.759155,5.002848,15.298995,31.097769,53.606724,19.419855
2022-06-29,19.757042,28.459106,23.759155,5.002848,15.298995,31.097769,53.606724,19.419855
2022-06-30,20.056707,28.581066,23.784136,5.457857,15.15173,31.097769,53.606724,19.213278
2022-07-01,20.056707,28.608953,23.784136,6.5838504,16.35183,33.3519,53.847546,19.293184
2022-07-02,20.056707,28.608953,23.784136,6.5838504,16.35183,33.3519,53.847546,19.293184
2022-07-03,19.92112,28.542116,23.443264,6.5838504,16.841558,35.160706,56.978058,17.755089
2022-07-04,19.92112,28.38824,23.443264,9.799258,17.4386,36.24957,57.563118,17.775213
